Problem:    
Rows:       1
Columns:    299 (299 integer, 299 binary)
Non-zeros:  299
Status:     INTEGER OPTIMAL
Objective:  z = 547 (MAXimum)

   No.   Row name        Activity     Lower bound   Upper bound
    75 x75          *              0             0             1 
    76 x76          *              0             0             1 
    77 x77          *              0             0             1 
    78 x78          *              0             0             1 
    79 x79          *              0             0             1 
    80 x80          *              0             0             1 
    81 x81          *              0             0             1 
    82 x82          *              0             0             1 
    83 x83          *              0             0             1 
    84 x84          *              0             0             1 
    85 x85          *              0             0             1 
    86 x86          *              0             0             1 
    87 x87          *              0             0             1 
    88 x88          *              0             0             1 
    89 x89          *              0             0             1 
    90 x90          *              0             0             1 
    91 x91          *              0             0             1 
    92 x92          *              0             0             1 
    93 x93          *              0             0             1 
    94 x94          *              0             0             1 
    95 x95          *              0             0             1 
    96 x96          *              0             0             1 
    97 x97          *              0             0             1 
    98 x98          *              0             0             1 
    99 x99          *              0             0             1 
   100 x100         *              0             0             1 
   101 x101         *              0             0             1 
   102 x102         *              0             0             1 
   103 x103         *              0             0             1 
   104 x104         *              0             0             1 
   105 x105         *              0             0             1 
   106 x106         *              0             0             1 
   107 x107         *              0             0             1 
   108 x108         *              0             0             1 
   109 x109         *              0             0             1 
   110 x110         *              0             0             1 
   111 x111         *              0             0             1 
   112 x112         *              0             0             1 
   113 x113         *              0             0             1 
   114 x114         *              0             0             1 
   115 x115         *              0             0             1 
   116 x116         *              0             0             1 
   117 x117         *              0             0             1 
   118 x118         *              0             0             1 
   119 x119         *              0             0             1 
   120 x120         *              0             0             1 
   121 x121         *              0             0             1 
   122 x122         *              0             0             1 
   123 x123         *              0             0             1 
   124 x124         *              0             0             1 
   125 x125         *              0             0             1 
   126 x126         *              0             0             1 
   127 x127         *              0             0             1 
   128 x128         *              0             0             1 
   129 x129         *              0             0             1 
   130 x130         *              0             0             1 
   131 x131         *              0             0             1 
   132 x132         *              0             0             1 
   133 x133         *              0             0             1 
   134 x134         *              0             0             1 
   135 x135         *              0             0             1 
   136 x136         *              0             0             1 
   137 x137         *              0             0             1 
   138 x138         *              0             0             1 
   139 x139         *              0             0             1 
   140 x140         *              0             0             1 
   141 x141         *              0             0             1 
   142 x142         *              0             0             1 
   143 x143         *              0             0             1 
   144 x144         *              0             0             1 
   145 x145         *              0             0             1 
   146 x146         *              0             0             1 
   147 x147         *              0             0             1 
   148 x148         *              0             0             1 
   149 x149         *              0             0             1 
   150 x150         *              0             0             1 
   151 x151         *              0             0             1 
   152 x152         *              0             0             1 
   153 x153         *              0             0             1 
   154 x154         *              0             0             1 
   155 x155         *              0             0             1 
   156 x156         *              0             0             1 
   157 x157         *              0             0             1 
   158 x158         *              0             0             1 
   159 x159         *              0             0             1 
   160 x160         *              0             0             1 
   161 x161         *              0             0             1 
   162 x162         *              0             0             1 
   163 x163         *              0             0             1 
   164 x164         *              0             0             1 
   165 x165         *              0             0             1 
   166 x166         *              0             0             1 
   167 x167         *              0             0             1 
   168 x168         *              0             0             1 
   169 x169         *              0             0             1 
   170 x170         *              0             0             1 
   171 x171         *              0             0             1 
   172 x172         *              0             0             1 
   173 x173         *              0             0             1 
   174 x174         *              0             0             1 
   175 x175         *              0             0             1 
   176 x176         *              0             0             1 
   177 x177         *              0             0             1 
   178 x178         *              0             0             1 
   179 x179         *              0             0             1 
   180 x180         *              0             0             1 
   181 x181         *              0             0             1 
   182 x182         *              0             0             1 
   183 x183         *              0             0             1 
   184 x184         *              0             0             1 
   185 x185         *              0             0             1 
   186 x186         *              0             0             1 
   187 x187         *              0             0             1 
   188 x188         *              0             0             1 
   189 x189         *              0             0             1 
   190 x190         *              0             0             1 
   191 x191         *              0             0             1 
   192 x192         *              0             0             1 
   193 x193         *              0             0             1 
   194 x194         *              0             0             1 
   195 x195         *              0             0             1 
   196 x196         *              0             0             1 
   197 x197         *              0             0             1 
   198 x198         *              0             0             1 
   199 x199         *              0             0             1 
   200 x200         *              0             0             1 
   201 x201         *              0             0             1 
   202 x202         *              0             0             1 
   203 x203         *              0             0             1 
   204 x204         *              0             0             1 
   205 x205         *              0             0             1 
   206 x206         *              0             0             1 
   207 x207         *              0             0             1 
   208 x208         *              0             0             1 
   209 x209         *              0             0             1 
   210 x210         *              0             0             1 
   211 x211         *              0             0             1 
   212 x212         *              0             0             1 
   213 x213         *              0             0             1 
   214 x214         *              0             0             1 
   215 x215         *              0             0             1 
   216 x216         *              0             0             1 
   217 x217         *              0             0             1 
   218 x218         *              0             0             1 
   219 x219         *              0             0             1 
   220 x220         *              0             0             1 
   221 x221         *              0             0             1 
   222 x222         *              0             0             1 
   223 x223         *              0             0             1 
   224 x224         *              0             0             1 
   225 x225         *              0             0             1 
   226 x226         *              0             0             1 
   227 x227         *              0             0             1 
   228 x228         *              0             0             1 
   229 x229         *              0             0             1 
   230 x230         *              0             0             1 
   231 x231         *              0             0             1 
   232 x232         *              0             0             1 
   233 x233         *              0             0             1 
   234 x234         *              0             0             1 
   235 x235         *              0             0             1 
   236 x236         *              0             0             1 
   237 x237         *              0             0             1 
   238 x238         *              0             0             1 
   239 x239         *              0             0             1 
   240 x240         *              0             0             1 
   241 x241         *              0             0             1 
   242 x242         *              0             0             1 
   243 x243         *              0             0             1 
   244 x244         *              0             0             1 
   245 x245         *              0             0             1 
   246 x246         *              0             0             1 
   247 x247         *              0             0             1 
   248 x248         *              0             0             1 
   249 x249         *              0             0             1 
   250 x250         *              0             0             1 
   251 x251         *              0             0             1 
   252 x252         *              0             0             1 
   253 x253         *              0             0             1 
   254 x254         *              0             0             1 
   255 x255         *              0             0             1 
   256 x256         *              0             0             1 
   257 x257         *              0             0             1 
   258 x258         *              0             0             1 
   259 x259         *              0             0             1 
   260 x260         *              0             0             1 
   261 x261         *              0             0             1 
   262 x262         *              0             0             1 
   263 x263         *              0             0             1 
   264 x264         *              0             0             1 
   265 x265         *              0             0             1 
   266 x266         *              0             0             1 
   267 x267         *              0             0             1 
   268 x268         *              0             0             1 
   269 x269         *              0             0             1 
   270 x270         *              1             0             1 
   271 x271         *              0             0             1 
   272 x272         *              0             0             1 
   273 x273         *              0             0             1 
   274 x274         *              0             0             1 
   275 x275         *              0             0             1 
   276 x276         *              0             0             1 
   277 x277         *              1             0             1 
   278 x278         *              0             0             1 
   279 x279         *              0             0             1 
   280 x280         *              0             0             1 
   281 x281         *              0             0             1 
   282 x282         *              0             0             1 
   283 x283         *              0             0             1 
   284 x284         *              0             0             1 
   285 x285         *              0             0             1 
   286 x286         *              0             0             1 
   287 x287         *              0             0             1 
   288 x288         *              0             0             1 
   289 x289         *              0             0             1 
   290 x290         *              0             0             1 
   291 x291         *              0             0             1 
   292 x292         *              0             0             1 
   293 x293         *              0             0             1 
   294 x294         *              0             0             1 
   295 x295         *              0             0             1 
   296 x296         *              0             0             1 
   297 x297         *              0             0             1 
   298 x298         *              0             0             1 
   299 x299         *              0             0             1 

Integer feasibility conditions:

KKT.PE: max.abs.err = 0.00e+00 on row 0
        max.rel.err = 0.00e+00 on row 0
        High quality

KKT.PB: max.abs.err = 0.00e+00 on row 0
        max.rel.err = 0.00e+00 on row 0
        High quality

End of output
